,Journal Entry,Date,sent
34,"Very quiet night! One person very grateful forhow the SS team. Are - kind, good, respectful and huggers! Another lady we saw a month ago came up behind us in the street, tapped a nurse on the shoulder and said hello - started talking about her life. Said she follows SS on Facebook. Hugged the nurse. The nurse thanked her for tapping us on the shoulder! 3 youth phoned the SS line before the clinic began. Talking about general life: work, medications, thoughts, appts they had been to, meals they ate, peers they should befriend or avoid. Great chats! ",9/12/2019,0.334375
36,"Smooth clinic, a new patient & new to homelessness",9/16/2019,0.22424242424242424
37,"Serenaded with Shakespearen language! Welcome to 2 new RNs!!
Quiet clinic. Beautiful day!! Kait looks great in her pink shirt!! ",9/17/2019,0.44280303030303036
38,Kit needs gauze squares & thanks to Nat laptops up & running. T shirt for Andrea L,9/17/2019,0.2
40,Another awesome night!! Great team!,9/18/2019,1.0
42,"Nursing kit needs gauze squares, betadine swabs & scissors
Consider disposable suture kits",9/23/2019,0.0
44,"One patient sang to a nurse. Beautiful! Goodebumps!
Walked a Pt to the police station for support post clinic re alleged assault. Quiet night but our time completely taken up with conversations. ",9/24/2019,0.25
45,Gifted incontinence underwear to a person experiencing lack of dignity. Busy! ,9/25/2019,0.3125
46,"Inaugural clinic at Daily Bread! Much excitement expressed by Daily Bread & Orange Sky crew members.

2 new patients & one patient from the Shack ",9/25/2019,0.08409090909090909
47,Nursing kit needs some more gauze restocked please,9/26/2019,0.5
48,Bandages needed. Cold pack too. Lots of mental health distress. Linked in to services .paid for medications.,9/26/2019,-0.35
49,Short clinic this morning due to Shack closing earlier. Two regular patients & one new one patient. Shack will be closed all next week. ,9/30/2019,-0.012662337662337665
50,Need sharps container for Tewantin. Next fortnight is 100yr anniversary of cottage and 1yr of hub. Lovely clinic. Easy and complex. Day 1 of taking over Grill'd across Queensland!!! ,10/1/2019,0.08684895833333334
51,Patient admission forms required ,10/1/2019,0.0
52,Need Bgl machines and urine jars. Bec brought in donations of dressings! ,10/1/2019,0.0
53,First shift at Beddown!! Great space. Feedback from a patient saying he knew about Sunny Street from LinkedIn - homeless! Setting up near the dentist is better and in the thoroughfare near toilets. Brilliant!! ,10/1/2019,0.5151041666666667
55,Quiet night...2nd of Beddown. Starting to establish trust. Linking one chap into methodone program before jail. ,10/2/2019,-0.03333333333333333
56,Needle kits. Great nurse clinic,10/2/2019,0.8
57,Maybe need some cleanup wipes for end of shift ??? ,10/3/2019,0.0
59,Very quiet Saturday night. Difficult to engage people in the transition from registering to showers and then bed. Had 2 Doctors on shift - Orthopaedic Surgeon and a Hematologist and a Nursing Director. New Doctors are wonderful and invested. Discussions with Norm re future presence. Left a Nursing kit there. ,10/5/2019,0.10606060606060606
60,"Urine jars, ward tests, sharps container, rubbish bags, QAS transfer to rbh. Referral to Beddown ",10/8/2019,0.0
61,"Better night tonight with food vans and tables out for people to sit around. Played a game of Connect 4, listened to a fellow play and sing on an out of tune guitar, liaised with the dental surgeons amongst the bathroom lockers. Had referred a lad here at Beddown from the Red Cross Night Cafe. Good chats. ",10/8/2019,0.15999999999999998
62,No space to leave a nursing kit. Good clinic! ,10/9/2019,0.875
64,Played uno with patrons - great wY for people to settle before sleeping. CEO and QLD Manager of Secure Parking and National Seven news present. Interviewed Sonia and will air Thurs 10th Oct. ,10/9/2019,0.4000000000000001
65,"Turned away 6 people. Ran 1 hour over. Left 3 laptops at WM for future clinics...yay!
Great conversations & planning. WM team are so helpful :)",10/9/2019,0.325
67,Great shift! Goes quickly! Welcomed Raquel back!!!! ,10/10/2019,0.47222222222222215
69,People attending the Shack talking about the passing of Dale RIP,10/14/2019,0.0
72,"Had to purchase Meds from pharmacy.
Fairly quite night.",10/15/2019,0.7
73,"Fit Kits needed for nursing bag, betadine swabs ",10/16/2019,0.4
74,Epic !,10/16/2019,0.125
75,Glucometer not available ,10/17/2019,-0.2
76,"Strapped fractured finger, urinalysis, two bgl, dressed cigarette burn with betadine.  Really busy night. ",10/17/2019,0.1
77,"No dongle for WiFi used hotspot
Kelly white shirt Med please.
Baby gifts given to Dee(mum)",10/18/2019,0.0
78,Quiet clinic. The Shack quiet generally,10/21/2019,0.016666666666666673
80,Need more small and medium island dressing,10/22/2019,0.125
81,Compliment received from Thriving Families re great link in to another Dr. Decision with Jonathan from families to remove waiting list and SS to function like every other informal clinic with no appointment list. Supplies from QuIHN and possible drug education collab. ,10/23/2019,0.225
83,Potential for confidentiality issues with multiple staff stations under marquee. Great response from community. Orange Sky and Rosie's. Barber service also in attendance.,10/23/2019,0.26666666666666666
84,"Need needles, syringes, sharps (22 gauge)",10/23/2019,0.0
85,Great clinic! New Dr loved it! Printer issue ,10/24/2019,0.6704545454545454
86,Liz orientation shift went well. Ben Cuddled a baby!!,10/24/2019,0.0
87,Very quiet morning. No one really at the Salvos breakfast either. ,10/25/2019,0.1
88,Nursing kit needs splinter removal also betadine swabs. Surface wipes. Quiet at Shack but clinic constant.,10/28/2019,0.0
89,"Unsterile gauze squares
",10/29/2019,0.0
90,"Can we please have gauze, dressing packs and interpose when possible.
Sharon requests QML forms please. ",10/29/2019,0.0
91,Pharmacy: Bec will contract Sonia regarding billing discussion with pharmacy,10/29/2019,0.0
92,Quiet night,10/30/2019,0.0
93,"Baby scales would be awesome.
Volunteer will try to arrange some for next week. ",10/30/2019,0.5
94,"Great clinic, smooth, busy
One RN session_reportst attend",10/30/2019,0.4333333333333334
95,Halloween night seemed quieter than usual,10/31/2019,-0.25
96,session_reportss first shift done! One ice pack used for ankle,10/31/2019,0.3125
97,Unable to access BP account disabled ,11/1/2019,-0.35
98,Quite a few new attendances for the Shack. New client conversation for clinic,11/4/2019,0.024242424242424232
99,Lou to follow up Di re patient concerns ,11/5/2019,0.0
100,Orientated 2 new RNs. Quiet night! ,11/5/2019,0.06818181818181818
103,"Script paper required.
Potentially able to get some space from Busy at Work (Ness' employer)",11/6/2019,0.3
104,Need thermometer covers,11/6/2019,0.0
105,Ask Di to follow up patient tomorrow ,11/7/2019,0.0
106,Pretty quiet night. Jeanette first shift went well,11/7/2019,0.16666666666666666
107,Busy start to shift. Some new clients.,11/11/2019,0.11818181818181818
109,very quiet - good conversation with the service providers :),11/12/2019,0.39999999999999997
112,Slowly clients are approaching me or asking orange sky staff what I can do for them - it may take time to build their confidence ,11/13/2019,-0.15000000000000002
113,"session_reportsm not sure of session_reportss surname so I have not entered her name as there are two of them listed. Brief orientation provided. It is awesome to have her on team.ErinI

We called QAS to transport a 15yo boy to IGH. Dehydration possibly viral or food poisoning. Whole family recently sick. Whole family homeless. Asked for Social Work consult are hospital and referred to Micah and others via Homeless Connect.

We need more T-shirts please. Erin would like a large in pink please. We also need forms for documentation. None available tonight due to Danielle not being there. Could not log in to laptop. Said no domain. I will type out our notes and email them.

Excellent night. Thank you. ",11/13/2019,0.16845238095238094
114,Happy clinic,11/13/2019,0.8
116,Very quiet shift for us and also The Shack,11/18/2019,0.0
117,Quiet clinic tonight ,11/19/2019,0.0
118,Awesome Sunny Street vollies :-),11/19/2019,0.75
119,Great Day. Lots of Stakeholder Convo's and gave a bunch of our 'its cool to be kind;' bags. ,11/20/2019,0.5833333333333334
121,It was reported by a gentleman that comes regularly that a Sunny Street Nurse stopped at a service station in her way home. A gentleman session_reportst have enough for a bottle of milk so she bought it for him. We think it may have been Erin last week. Not all good deeds go unseen. ,11/20/2019,0.175
122,"Had to shut down the shift without clinical resources this time.
Probably need to look at updating the roster on Campfire when volunteers call in.",11/20/2019,-0.15555555555555559
125,Shift moderate activity. ,11/25/2019,0.0
126,"Need glucometer, scissors, Panadol & Neurophen ",11/26/2019,0.0
128,Need some dressing packs if available please,11/26/2019,0.4
130,Please see my email. Some volunteers keen to work Christmas Day and New Years Day if service available. ,11/27/2019,0.2681818181818182
131,Needle stick injuryMia to follow up,11/27/2019,0.0
132,Need gauze squares and dressing trays ,11/28/2019,0.0
133,Need easier communication when cancelling shift to advise other team members and staff ,11/28/2019,-0.125
134,Quiet for the entire hub today. Internet sorted!,11/29/2019,0.0
135,A lot of new clients at the Shack. ,12/2/2019,0.13636363636363635
136,Low stock of sterile gauze,12/3/2019,0.0
137,Awesome nurse,12/3/2019,1.0
139,"Clinic needs ipanadol, paracetamol, retarctable lancets for BGL
We are struggling without doctors presence atleast every two weeks, and for basic script requirements.
Problenms with Campfire on iphone and laptop browser.",12/4/2019,0.0
141,"Varied clinic, new patients, 3 long term ss patients in clinic.Great connections - so far patients have plans for Christmas period re food.
Good, busy clinic! Team need shirts.",12/5/2019,0.20227272727272724
142,Busy clinic grateful for session_reportss presemcr,12/9/2019,0.1
145,Busy shift.Lots of conversations. ,12/10/2019,0.1
147,"It is getting critical that we find storage space and someone to set up each week. Please see message on Whats App. We desperately need waterproof dressings, letterhead for referrals, printer, script paper, gauze, thermometer covers, XL BP cuff, large T-shirts. Orange Sky are going Christmas Day and New Years Day and have asked again if we will attend with them. ",12/11/2019,-0.06233766233766233
148,"We smashed it!!!!!! Just sayin!!!
Panadol needed
Mia and Sonia are legends",12/11/2019,0.0
149,"Talking with people outside helps some people feel more comfortable talking about their health with nurses. 8 people had conversations with Tess outside, and 2 of them were referred to their session_reportss. Interesting enough, the one person in particular, session_reportst want me to open a file for her. The other referral was a couple who classify themselves as drifters, and also session_reportst want a file opened for the female. They will be at clinic next Tuesday - I will attend clinic next Tuesday, to follow up with the 2 people who were referred to their session_reportss.",12/12/2019,0.12013888888888889
151,Well attended clinic,12/16/2019,0.0
152,Merry Christmas ,12/17/2019,0.0
153,"Awesome nurses
Merry Christmas ",12/17/2019,1.0
154,Very busy night but people very engaged and happy to wait to speak with us. Marquee kept blowing away. Need tent pegs and sandbags. Need to be sure if recommencement date and have equipment and supplies returned by then. Need local storage as a priority. ,12/18/2019,0.326
155,Possibilty of ordering ketone strips for use in glucometre. ,12/19/2019,0.0
156,No clinics for the next 2 Monday's ,1/13/2020,0.0
157,"Require thermometer and dressings
Youngest patient 18mths old.
Great engagement at clinic! ",1/15/2020,0.55
158,"Two new volunteers to observe and assist prior to registration.
Maddy - Student Nurse/Medical Assistance lives in Port Macquarie. Will volunteer when local to attend prac for USQ.
Melita MacMahon - RN/Midwife/Lactation Consultant/Nurse Immuniser. Lives in Armidale but will volunteer when up I. -ld for work, ARL etc.Q
We again have no storage facilities. I will email IHF re same. This needs to be sorted ASAP.
We need a couple of stethoscopes and all kinds of dressings. Waterproof dressings a real help.
We need referral letterhead.
Instructions for laptops including passwords for each practitioner needed ASAP too please.
Thank you. ",1/15/2020,0.06727272727272728
159,"New Nurse Vollie Jill attended TDB clinic tonight.
Nursing kit & laptop stored in locked cupboard _key stored in draw just above cupboard, spare key kept with office staff. ",1/15/2020,0.03409090909090909
160,Need paracetamol,1/15/2020,0.0
161,"3 nursing consults, discussed local services available, and health promotion and education.
Pharmacy referral and dressings attended too. Nursibg assessment and interventions applied as clinically signed and appropriate. ",1/16/2020,0.3
163,"Quiet clinic, HHOT, Salvation Army supported accommodation & Housing rep here today. Great opportunity for team to meet service providers. ",1/21/2020,0.4
164,"Need Bedine, access to pharmacy ?",1/21/2020,0.0
165,It was great to have Dr Nova and Abbey visit tonight. Thank you for the support. We think heat and rain threat have kept people away this week. ,1/22/2020,0.8
166,"Very busy clinic, 2 new patients. The hall was full.
Nursing kit needs batteries for thermometer, dressings, cavil on, glucometer. Rubbish bags. Maybe some scales? ",1/22/2020,0.20545454545454545
167,Awesome nurse Kelly Bidlake,1/22/2020,1.0
168,Notes not done - software issue will complete 24/01,1/23/2020,0.1
169,Quiet night. Awesome nursing support staff ,1/23/2020,0.5
171,"Need to look into what dressings we have and what is needed
Awesome nurses",1/28/2020,1.0
172,"Kit needs scissors

Very busy clinic",1/29/2020,0.13
173,"Need referral list for GPs, and other services.",1/29/2020,-0.125
174,"Very busy clinic as I was the only nurse on and had a Buddy shift . Notes not completed, but will do so on Monday. session_reportst call for help, too busy. In saying all of this, all went well. My buddy   Left before we could debrief because a patient with mental health issues needed to speak with me. Tash did say that she will be back, but I will contact her when I get home ",1/30/2020,0.021666666666666667
175,Server down on laptop. Will email notes about Pt assessments. ,1/30/2020,-0.15555555555555559
176,"Buddied 2 new people!
Quiet day",2/3/2020,0.08522727272727272
177,No time to do notes will do tomorrow ,2/4/2020,0.0
178,Contacted SCUH on behalf of Richard 02.06.1978 re waiting time on Cat II appt. They called back 05.02.20. He is to call Outpt 52022222. They are aware Richard is homeless,2/4/2020,0.125
179,"Awesome nurse, busy night",2/4/2020,0.55
180,Was told by clinic patients that clinic had been shut down. Attempted to get in contact with other volunteers and with sunny st but due to after hours no answer. Unfortunately I was not notified so ran the clinic independently tonight with the assistance of the orange sky and rosies volunteers ,2/5/2020,-0.1811111111111111
182,"Kindness is contagious

Please update rosters ASAP - so we can know clinic is on",2/5/2020,0.0
183,"Busy clinic tonight. 2nd buddy shift for two new vollies.
Consider having Mental Health after hours contact details for easy access.
Need to replace glucometer ",2/6/2020,0.11393939393939394
184,Good day. ,2/10/2020,0.7
186,BGL kit not working,2/11/2020,0.0
188,"Very busy clinic, pamper night for ladies, great to see so many attend. Hall looked fabulous
Need normal saline for kit.
Need to on board more vollies for Daily Bread",2/12/2020,0.35428571428571426
189,Could we seek out printer options and prescription forms (GP) ,2/13/2020,0.0
193,"Rotary came and are organising a safe for the laptop. They will attach it to the floor.
I was wondering about any dressings for wounds? I only had gauze. ",2/18/2020,0.25
194,"A bit more volatile in the community space tonight.
Awesome nurse",2/18/2020,0.75
195,"Dressing packs & gloves needed for nursing kit
New patient, 50 year old lady living in her car since November, flee domestic violence situation.",2/19/2020,0.07878787878787878
196,"BHL machine required
Awesome nurse Mia",2/19/2020,1.0
198,Quiet night.,2/20/2020,0.0
201,Awesome nurse Simone,2/25/2020,1.0
203,New vollie Fiona tonight. Need saline for Nursing kit,2/26/2020,0.13636363636363635
204,"Need BGL machine please
Pregnancy testing kit
Very awesome nurse Mia",2/26/2020,1.0
207,Good shuft,3/2/2020,0.7
209,On my own again. Got key for safe and put computer in there. Have to get pincode. Kylie from council is following this up. Need to put pad and pens into bag next fortnight. Darcy from Mental Health (&United Synergies) helped with one patient. I had to leave so not sure how this ended up.,3/3/2020,0.10714285714285714
211,Normal Saline needed,3/4/2020,0.15
212,"Hectic this evening with several persons in very vulnerable star.
Felt a little under the pump & missed Tony so much - very clear this evening how awesome he is in creating the calm and flow of clinic.  

Please ensure that the BGL machine is replaced/repaired for next week
Apologies that not all notes complete - I had to run due to child minding commitments.

Mia ",3/4/2020,0.06305555555555556
213,"Hectic clinic!! Not happy about turning patients away, but we were just too busy, and Bec and I left well after 7pm!! I am concerned that we have been leaving clinic late - not fair on all the volunteers, and Tuela.",3/5/2020,-0.19
214,Incident report filed from QAS,3/9/2020,0.0
215,MNC busy - Buddy shift with Peter. We need a doctor at MNC,3/10/2020,0.1
217,Good thanks! ,3/11/2020,0.475
218,Great to meet and work with Rob - he was excellent with a mental health patient and reinforced what I have been saying to this patient for the past 2 months. Clinic busy.,3/12/2020,0.31
220,"Doctor needed at MNC - many new faces! MNC becoming very busy. It took an hour for an ambulance to turn up, to transport a patient to hospital!! Not fair on Service Provider or volunteers.",3/17/2020,0.19471590909090908
221,great Good. Quiet day presumably due to CVOID-19. gave patients education about the virus and had lots of conversations. :),3/17/2020,0.375
222,"Quiet shift, Red cross closed cafe only. Red Cross very low on volunteers. 
Need masks for clinic",3/17/2020,-0.0125
224,"As per conversation with Nova review if clinic space required
Disappointing setup
AwesomeNurse",3/18/2020,-0.6
225,"Aggression from a patient with BPD, because she was after a script. Another patient who feels hopeless, is threatening suicide. Difficult shift.",3/19/2020,-0.5
227,We think that mental health issues for our patients are going to increase. Well done to MNC for still feeding the vulnerable.,3/24/2020,-0.3
228,"With 2 nurses could have 2 clients inside but will need too comply with RC safety guidelines.
Awesome nurse Simone and new nurse Ajax.
Campfire on iphones not operating today.",3/24/2020,0.5681818181818181
229,"quiet morning, was good ",3/25/2020,0.35
232,"Patient safety and comfort not ideal, Dark street and entrance not lit
Key safe to whatever room was uncertain, used the Menâ€™s sheâ€™d work space which was roomy
Need hand sanitiser and clinells wipeâ€™s
Awesome volunteers",3/25/2020,0.18
233,Clinic busier that Tuesday - people struggling with their mental health due to social distancing.,3/26/2020,-0.0638888888888889
234,Limited door service at Red Cross. Quiet night in the city.,3/26/2020,-0.017857142857142856
235,Renovations well underway at the Shack - staff juggling social distancing as per COVID-19 guidelines,3/30/2020,0.03333333333333333
236,First night trialing telehealth consults - Fantastic!! ,3/31/2020,0.4375
237,Quiet session. No other providers  present. Council staff went for walk about. But no one around. ,3/31/2020,0.020833333333333332
238,Daily Bread team stated really happy with ss team being present!,4/1/2020,0.26666666666666666
240,"Quiet tonight, noticing change in shift to gather and talk, only a few regulars ... concerning
Awesome nurses",4/1/2020,0.2
241,Replace thermometer covers taken for The Shack,4/2/2020,0.0
243,Need thermometer covers and non stick dressings. Quiet evening. ,4/7/2020,0.0
244,"Need gloves. And sanitizer.
Visited a chap in a shipping container ",4/8/2020,0.0
245,First time here for me.  Good friendly bunch  of  people  both volunteers  and  customers. Reportedly  quieter than normal. Has been raining.  Enquiries  re fluvax.  I  wasn't  sure re situation  so  not sure what  to tell them.  ,4/8/2020,0.2875
246,5 homeless people housed today!!,4/9/2020,0.0
247,Great clinic.,4/14/2020,0.8
248,Quiet clinic,4/14/2020,0.0
249,Quiet afternoon  for me. Chats around fluvax and COVID.   Lots of Volunteers.  They are extending to a Friday  dinner too. So clients happy. Had trouble with this app trying to lodge report. ,4/15/2020,0.20000000000000004
251,"Busy clinic - thank goodness for the extra hands! Dr. Bella brilliant!
Need specimen containers.",4/16/2020,0.3666666666666667
254,"Busy night, need specimen jars. Angst among patients housed at The Hub.",4/21/2020,0.1
255,Busy clinic ! ,4/22/2020,0.125
256, Busier tonight. ,4/22/2020,0.0
258,Good day at Clinic,4/24/2020,0.7
259,"Loo is unable to enter a shift report. TW will go to The Shack on Friday, to see why Loo can't enter a shift report on CF. Need thermometer covers.",4/27/2020,-0.5
260,"Thermometers covers, spot plasters",4/28/2020,0.0
262,Fluvax clinic started.8 given. Numbers still low due to COVID restrictions.  ,4/29/2020,-0.0625
265,"Social distancing in place.
Flu clinic time!",5/4/2020,0.041666666666666664
267,"Busy flu clinic. Research surveys completed. Wonderful, wonderful morning! ",5/6/2020,0.7000000000000001
268,Couple more fluvax given. Clinic over and done very quickly.  People just disappeared  ! ,5/6/2020,0.5208333333333334
269,"Awesome nurse
Good to be back
Please contact Us re Flu Clinic",5/6/2020,0.5666666666666667
271,First Clinic at this venue! ,5/7/2020,0.3125
273,Pretty  quiet  today. Mostly  people  popping  in  for showers only. ,5/12/2020,0.1875
274,"Patient flow went well with flu clinic
Awesome nurse Mia and Doc Nova",5/13/2020,1.0
275,Quiet evening,5/14/2020,0.0
277,"Patient Tony has a part time handyman job, which he is very proud of!",5/15/2020,1.0
278,A bit damp outside today! Hoping to be back in The Shack building soon!,5/18/2020,0.0
279,"Busy and steady clinic.
",5/19/2020,0.13333333333333333
280,"Fantastic clinic! Music, coffee, food, lots of patients lots of conversation! ",5/20/2020,0.625
281,"Spoke to a person about paying for their bike as they enjoy cycling
Flu shots didn't hurt!!!",5/20/2020,0.78125
282,Doctor Printer not working,5/20/2020,0.0
283,"Quiet, steady clinic. Social distancing in place. Lots of comradery and trusted, genuine conversations. Dietician had a consult!!! First one!! ",5/21/2020,0.274375
284,"Clair and Brian from the salvation army are retiring in 7 weeks. 
Nova and I walked through parks and areas randomly walking up to people and asking them if they wanted free flu jabs! We took Queenie. 
Incredible, incredible day hearing people's stories.",5/22/2020,0.45
286,New attendee becoming more comfortable with Sunny Street service staying longer/communicating more,5/25/2020,0.3972727272727273
287,"Really busy clinic, people wanted to engage, high levels of engagement, public health student Kim present, 2 elderly over 65 flu vaccinations, ",5/26/2020,0.065
288,Personal care kits we provided to hand out. No Fluvax  given,5/26/2020,0.0
289,Quiet for me but quite a few new (to me) faces. Orange Sky was here,5/27/2020,-0.02121212121212122
290,"Awesome nurses, grateful to see Reyne for followup",5/27/2020,1.0
291,"Busy steady night!
Flu surveys completed 
No Telehealth ",5/28/2020,0.15416666666666667
292,"Duplication of other ss clinics on coast. Minimal patients.? Viability of continuing?
Media with gov dept of housing",5/28/2020,-0.1125
293,"The team set up outside of public toilets for greater community impact and engagement. This was a winning strategy!
The signs out, only brought 5 people out of the 2 road trip days to the clinics. The rest were opportunistic. 
St Vinnies was disorganised St an operational level. 
Flu vax surveys completed.
Well worth our time! ",5/29/2020,0.25
295,Luke continues to be more relaxed and happy for a conversation. Vastly different from when he first presented,6/1/2020,0.3875
296,"Lots of talk about drugs - ice being cut with chemicals, and hard to get because of COVID - liquid GBH (Fantasy)on the streets, less expensive. Ketamine being used to ""get girls"" - at least one of our patients using this!",6/2/2020,-0.33333333333333337
297,Verbal.and physical fight between 2 female residents over drugs. Both asked to leave. Follow up provided for both patients. Explained no violence policy. Police present. Rn Goodwin' s information provided. Another community member climbed the roof rafters. Told to get down.and person did same calmly - had loud music playing  - told to turn same off as agitating residents. Situation calmed down post this.,6/3/2020,0.030555555555555555
298,Awesome nurse Kelly Bidlake,6/3/2020,1.0
299,"Busy clinic, booster fluvax given to Ruby. Very volatile patient at clinic tonight - high on meth and alcohol. Escorted off property. ",6/4/2020,0.15333333333333335
300,Unable to record patient details as no computer. Patient referred to QIHN after a discussion with Sonia,6/4/2020,-0.5
303,Busy clinic - lots of mental health issues!,6/9/2020,-0.012499999999999997
305,Quiet.,6/10/2020,0.0
306,Good with wonderful Paramedic Mia,6/10/2020,0.85
307,"Very busy clinic - lots of mental health concerns. MNC needs more nurses to cope with influx of patients needing especially mental health care. Clinics running over time, which is not fair on volunteers or service provider worker - no doctor/nurse back up after 7pm.",6/11/2020,-0.003333333333333327
311,See feedback. One patient taken on rehabilitation!! Yay!!! One patient finally has accommodation for 2 nights!! Busy night! Bloody rewarding. ,6/16/2020,-0.04375000000000001
312,Noticing some people deteriorating with increased drug use.,6/17/2020,0.0
313,"Space here is insufficient privacy for patients, taking clothes off in public
Patients sensitive to abuse, etc
Awesome nurses Ajax and Mia",6/17/2020,0.3666666666666667
314,"Busy, wonderful night.",6/18/2020,0.55
318,Need to please find out the code to the new lock now on the cupboard holding the nursing supplies! ðŸ˜Š,6/24/2020,0.17045454545454544
319,"Good to get Telehealth running as a main service really helpful with patients tonight, busy juggling spaces to provide privacy with nurses and doctor at the same time
Great to have a room available to see patients tonight
3 new patients to the clinic
Awesome nurses !!!!",6/24/2020,0.3892255892255892
320,"2 drs on board helped! 
Have set up nurse and Dr tick list for patients to improve communication and flow.",6/25/2020,0.0
325,"Very quiet tonight, Wesley Mission closing up early. ",7/1/2020,0.05
326,Very quiet evening,7/2/2020,0.0
328,Busy morning,7/6/2020,0.1
329,Very quiet evening ,7/7/2020,0.0
330,"Now set up at Tait Duke.
Nil patients post COVID ",7/7/2020,0.0
331,"Awesome Kelly our nurse, use of office instead of corridor was so much more helpful, difficulty catching patients with food line ... how to stagger patients is a challenge when they have no where to eat",7/8/2020,0.7000000000000001
332,"Dr. Bec requests printer, script paper, pathology forms and radiology referral forms be available at clinic please.",7/9/2020,0.4
333,"Dale thought the clinic wasnt on today, but Kathy and I were dedicated! ",7/13/2020,0.0
336,"Amazing Ajax, Mia and Simone",7/15/2020,0.6000000000000001
337,Great busy evening but safety is an issue especially with giving out scripts and many pts were under the influence/ on drugs tonight,7/16/2020,0.35
340,Awesome Simone and Ajax caring and kindness,7/22/2020,1.0
341,Quiet but steady evening ,7/23/2020,0.08333333333333333
343,"Busy shift. 
Grahamâ€™s box cutters are in a bag in the side pocket of our kit bag with his name on it. He can have them back next Tuesday if his mental health is improved: 
DJ is staying at Eldons House, Keith said she could stay. Iâ€™m concerned about Eldons mental well being. I have talked to Nova about this. 

Has anyone seen or heard from Skye? Itâ€™s been 4 weeks since I have seen her. ",7/28/2020,-0.02
344,"Amazing Simone, awesome nurse",7/28/2020,0.8
346,"Awesome Mia, Ajax and Elise did an amazing job",7/29/2020,0.8
347,"Busy night, missed not having another nurse on.",7/30/2020,0.1
348,Quiet night. Everyone  happy to be back open again,7/30/2020,0.2
350,"
  ",8/4/2020,0.0
351,Fantastic Simone was awesome as usual,8/4/2020,0.3833333333333333
352,No patients. very quiet,8/4/2020,0.0
353,"Wonderful nurses Mia and Kelly did awesome job helping patients with health skills,  kindness and compassion",8/5/2020,1.0
354,"Food cancelled at MNC tonight as the community event is on tomorrow evening, and our clinic is moved to tomorrow, instead of tonight. No patients attended MNC tonight.",8/6/2020,0.0
355,Very quiet evening,8/6/2020,0.0
356,"Lauren (Student), majoring in medical communications, felt a little overwhelmed as she did not know what to expect, and felt that people did not engage with her and felt that it was due to her age - we explained the complexity of our patients, and their trust issues with new volunteers. She had a really good chat with Eldon. I encouraged her to do another shift so that she can see how we normally run a clinic.",8/7/2020,0.11231060606060606
359,"Simone and Jennie were awesome to spend time with her, still quiet at Red Cross",8/11/2020,0.25
362,"Awesome nurses to be with Elise and Ajax, quiet night",8/12/2020,0.5
